project,project_path,worker_name,session_id,harness,source_db,source_transcript,source_factory_logs,factory_session,spawn_id,spawn_at,cli,model,effort,transcript_join_key,transcript_joined,session_first_at,session_last_at,task_id,task_title,task_status,task_closed,task_created_at,task_closed_at,lease_acquired_at,lease_released_at,lease_terminal_event,send_back_count,urgent_stop_count,merge_required_count,close_reason,first_push_at,minutes_to_first_push,input_tokens,cached_input_tokens,cache_creation_input_tokens,output_tokens,reasoning_tokens,tool_calls,cost_usd,home
Penguinz,/home/pippenz/Penguinz,calm-viper-46,db:Penguinz-keen-phoenix-79:calm-viper-46,codex,/home/pippenz/Penguinz/.cas/cas.db,,/home/pippenz/Penguinz/.cas/logs,Penguinz-keen-phoenix-79,199,2026-08-20T17:10:12.865Z,codex,gpt-5.6-terra,high,calm-viper-46,no,2026-08-20T17:10:12.865Z,,cas-b0ef,"update-ai: make CAS step conditional — update when installed, install harness (Linux + macOS) when missing",closed,yes,2026-08-20T17:09:48.229Z,2026-08-20T17:18:55.858Z,,,,0,0,1,Merged into the soundwave-config epic branch after supervisor review; focused proof passed.,,,0,0,0,0,0,0,0.000000,pippenz
Penguinz,/home/pippenz/Penguinz,jolly-owl-43,db:Penguinz-keen-phoenix-79:jolly-owl-43,codex,/home/pippenz/Penguinz/.cas/cas.db,,/home/pippenz/Penguinz/.cas/logs,Penguinz-keen-phoenix-79,200,2026-08-20T17:10:14.379Z,codex,gpt-5.6-terra,high,jolly-owl-43,no,2026-08-20T17:10:14.379Z,,cas-1d41,HTML report for Ben: cas-login / cas-update / update-ai explained + macOS copy-paste setup,closed,yes,2026-08-20T17:10:08.392Z,2026-08-20T17:22:47.740Z,,,,1,0,2,"Supervisor review complete (docs-only, verification ver-e9ba7c026d7b approved). Merged into soundwave-config epic branch at d1604ac; published to user as artifact.",,,0,0,0,0,0,0,0.000000,pippenz
Penguinz,/home/pippenz/Penguinz,codex-bright-pelican-71-142cd7f3-2678-4036-b5c3-6516c7fbf075,db:unknown:codex-bright-pelican-71-142cd7f3-2678-4036-b5c3-6516c7fbf075,db,/home/pippenz/Penguinz/.cas/cas.db,,/home/pippenz/Penguinz/.cas/logs,,,,,,,codex-bright-pelican-71-142cd7f3-2678-4036-b5c3-6516c7fbf075,no,,,cas-1d41,HTML report for Ben: cas-login / cas-update / update-ai explained + macOS copy-paste setup,closed,yes,2026-08-20T17:10:08.392Z,2026-08-20T17:22:47.740Z,2026-08-20T17:11:36.952Z,2026-08-20T17:21:33.507Z,released,1,0,2,"Supervisor review complete (docs-only, verification ver-e9ba7c026d7b approved). Merged into soundwave-config epic branch at d1604ac; published to user as artifact.",,,0,0,0,0,0,0,,default
Penguinz,/home/pippenz/Penguinz,codex-eager-crow-69-f87b9fec-3b74-4501-9b44-c8a89eb0cf34,db:unknown:codex-eager-crow-69-f87b9fec-3b74-4501-9b44-c8a89eb0cf34,db,/home/pippenz/Penguinz/.cas/cas.db,,/home/pippenz/Penguinz/.cas/logs,,,,,,,codex-eager-crow-69-f87b9fec-3b74-4501-9b44-c8a89eb0cf34,no,,,cas-b0ef,"update-ai: make CAS step conditional — update when installed, install harness (Linux + macOS) when missing",closed,yes,2026-08-20T17:09:48.229Z,2026-08-20T17:18:55.858Z,2026-08-20T17:11:38.179Z,2026-08-20T17:18:07.224Z,released,0,0,1,Merged into the soundwave-config epic branch after supervisor review; focused proof passed.,,,0,0,0,0,0,0,,default
Penguinz,/home/pippenz/Penguinz,codex-quick-viper-81-c974cab3-285e-47bd-bfc7-dc8ace229c27,db:unknown:codex-quick-viper-81-c974cab3-285e-47bd-bfc7-dc8ace229c27,db,/home/pippenz/Penguinz/.cas/cas.db,,/home/pippenz/Penguinz/.cas/logs,,,,,,,codex-quick-viper-81-c974cab3-285e-47bd-bfc7-dc8ace229c27,no,,,cas-dd0b,"scripts/setup-mac.sh: one-shot idempotent Mac bootstrap for Ben — toolchain, helpers on PATH, CAS build, cloud login, device, petra-stella team sync, project init",closed,yes,2026-08-20T17:23:38.371Z,2026-08-20T17:33:10.864Z,2026-08-20T17:24:10.877Z,2026-08-20T17:33:10.866Z,released,0,0,0,Merged into the soundwave-config epic branch at 83048b6; fresh setup-mac contract and syntax proof passed after the reviewed wording amendment.,,,0,0,0,0,0,0,,default
Penguinz,/home/pippenz/Penguinz,codex-lively-condor-71-51d2b696-cffc-41a2-bf23-d2797f6e7146,db:unknown:codex-lively-condor-71-51d2b696-cffc-41a2-bf23-d2797f6e7146,db,/home/pippenz/Penguinz/.cas/cas.db,,/home/pippenz/Penguinz/.cas/logs,,,,,,,codex-lively-condor-71-51d2b696-cffc-41a2-bf23-d2797f6e7146,no,,,cas-f4aa,"Investigate backup-to-unicron.service failure 2026-08-20 (rsync exit 23, cassy-actions-owned file in ~/.cas/artifacts) and report",closed,yes,2026-08-20T17:24:29.628Z,2026-08-20T17:31:11.718Z,2026-08-20T17:25:05.183Z,2026-08-20T17:31:11.900Z,released,0,0,0,"Read-only investigation complete. Root cause is a cassy-actions runner-owned 0640 sccache/Cargo diagnostic in ~/.cas/artifacts; Tier 3 transferred 37,395 files/13.77GiB but omitted that single 385B file and returned exit 23. Remote comparison confirms all 35 sibling cas-065a files present and only the unreadable file absent; ownership sweep shows active recurrence risk in cas-aada. Report and ranked no-change recommendations: artifacts://cas-f4aa/report.md.",,,0,0,0,0,0,0,,default
Penguinz,/home/pippenz/Penguinz,eager-crow-69,01a02027-deb4-7c42-9b8c-9499b250398d,codex,/home/pippenz/Penguinz/.cas/cas.db,/home/pippenz/.codex-support@gabber.studio/sessions/2026/08/20/rollout-2026-08-20T13-11-18-01a02027-deb4-7c42-9b8c-9499b250398d.jsonl,/home/pippenz/Penguinz/.cas/logs,Penguinz-keen-phoenix-79,201,2026-08-20T17:11:17.293Z,codex,gpt-5.6-terra,high,eager-crow-69,yes,2026-08-20T17:11:19.527Z,2026-08-20T17:19:12.350Z,cas-b0ef,"update-ai: make CAS step conditional — update when installed, install harness (Linux + macOS) when missing",closed,yes,2026-08-20T17:09:48.229Z,2026-08-20T17:18:55.858Z,,,,0,0,1,Merged into the soundwave-config epic branch after supervisor review; focused proof passed.,,,3129538,3034624,0,17920,6398,23,1.011793,support+alt
Penguinz,/home/pippenz/Penguinz,bright-pelican-71,01a02027-e234-7b01-aa37-0bdb6ff4e8a6,codex,/home/pippenz/Penguinz/.cas/cas.db,/home/pippenz/.codex-support@gabber.studio/sessions/2026/08/20/rollout-2026-08-20T13-11-19-01a02027-e234-7b01-aa37-0bdb6ff4e8a6.jsonl,/home/pippenz/Penguinz/.cas/logs,Penguinz-keen-phoenix-79,202,2026-08-20T17:11:18.497Z,codex,gpt-5.6-terra,high,bright-pelican-71,yes,2026-08-20T17:11:20.459Z,2026-08-20T17:22:16.960Z,cas-1d41,HTML report for Ben: cas-login / cas-update / update-ai explained + macOS copy-paste setup,closed,yes,2026-08-20T17:10:08.392Z,2026-08-20T17:22:47.740Z,,,,1,0,2,"Supervisor review complete (docs-only, verification ver-e9ba7c026d7b approved). Merged into soundwave-config epic branch at d1604ac; published to user as artifact.",2026-08-20T17:18:49.516Z,7.48,6725975,6473472,0,25960,7598,26,2.111220,support+alt
Penguinz,/home/pippenz/Penguinz,quick-viper-81,01a02033-4b02-7cb1-919e-c8964b26e2ab,codex,/home/pippenz/Penguinz/.cas/cas.db,/home/pippenz/.codex-support@gabber.studio/sessions/2026/08/20/rollout-2026-08-20T13-23-47-01a02033-4b02-7cb1-919e-c8964b26e2ab.jsonl,/home/pippenz/Penguinz/.cas/logs,Penguinz-keen-phoenix-79,204,2026-08-20T17:23:46.328Z,codex,gpt-5.6-terra,high,quick-viper-81,yes,2026-08-20T17:23:48.064Z,2026-08-20T17:33:30.281Z,cas-dd0b,"scripts/setup-mac.sh: one-shot idempotent Mac bootstrap for Ben — toolchain, helpers on PATH, CAS build, cloud login, device, petra-stella team sync, project init",closed,yes,2026-08-20T17:23:38.371Z,2026-08-20T17:33:10.864Z,,,,0,0,0,Merged into the soundwave-config epic branch at 83048b6; fresh setup-mac contract and syntax proof passed after the reviewed wording amendment.,2026-08-20T17:32:52.724Z,9.08,3583860,3468544,0,23396,7220,20,1.205093,support+alt
Penguinz,/home/pippenz/Penguinz,lively-condor-71,01a02034-0f8a-76e1-9ac3-bc5eaf946cb8,codex,/home/pippenz/Penguinz/.cas/cas.db,/home/pippenz/.codex-support@gabber.studio/sessions/2026/08/20/rollout-2026-08-20T13-24-37-01a02034-0f8a-76e1-9ac3-bc5eaf946cb8.jsonl,/home/pippenz/Penguinz/.cas/logs,Penguinz-keen-phoenix-79,205,2026-08-20T17:24:36.871Z,codex,gpt-5.6-terra,high,lively-condor-71,yes,2026-08-20T17:24:38.383Z,2026-08-20T17:31:17.726Z,cas-f4aa,"Investigate backup-to-unicron.service failure 2026-08-20 (rsync exit 23, cassy-actions-owned file in ~/.cas/artifacts) and report",closed,yes,2026-08-20T17:24:29.628Z,2026-08-20T17:31:11.718Z,,,,0,0,0,"Read-only investigation complete. Root cause is a cassy-actions runner-owned 0640 sccache/Cargo diagnostic in ~/.cas/artifacts; Tier 3 transferred 37,395 files/13.77GiB but omitted that single 385B file and returned exit 23. Remote comparison confirms all 35 sibling cas-065a files present and only the unreadable file absent; ownership sweep shows active recurrence risk in cas-aada. Report and ranked no-change recommendations: artifacts://cas-f4aa/report.md.",,,1872484,1765888,0,13774,4590,11,0.731658,support+alt
