entity_type	id	classification	local_title	remote_title	local_created	remote_created
entry	2026-07-14-2	foreign_id_collision	Session 2026-07-14 summary: diaries, integrity epic, Jul-14 Ozer bugs, Slack via Codex	2026-07-14T15:04:21.848104257+00:00	Staging→prod cutover plan 2026-07-14 — top blockers	2026-07-14T15:17:57.270273Z
entry	2026-07-21-1	foreign_id_collision	Factory: file CAS bugs in-repo immediately (cas-src)	2026-07-21T13:54:54.104293311+00:00	Sleep Rhythm: spec-wins rule + mockup location	2026-07-21T18:05:48.104268Z
entry	2026-07-23-4	foreign_id_collision	2026-07-23 supervisor observation batch shipped (cas-d767)	2026-07-23T15:05:14.843152606+00:00	Vercel CLI v55 env add silently creates EMPTY values under agent detection	2026-07-23T20:43:54.855278Z
entry	2026-07-23-7	foreign_id_collision	Session summary 2026-07-23 cas-src factory: 142d + d767 on main	2026-07-23T15:05:30.952701461+00:00	HANDOFF 2026-07-23 — OnePass SFTP: one final live test remains (see task cas-a8c8)	2026-07-23T17:47:19.263460074Z
entry	2026-07-30-1	foreign_id_collision	2026-07-30 harness diary sweep completed	2026-07-30T14:57:24.374105701+00:00	CAS epic close guard: stale pre-amend anchor + the -X ours trap	2026-07-30T15:53:18.968807093Z
entry	2026-07-31-2	foreign_id_collision	Crashed-session zombies kill fresh codex worker spawns; focus_epic before spawn	2026-07-31T14:20:31.779920369+00:00	Sleep Rhythm library is DB-driven — sleep_rhythm_assets table, not the frontend catalog	2026-07-31T12:01:19.912553Z
entry	2026-07-31-5	foreign_id_collision	"database is locked" on task create → orphaned cas process in a stale worker worktree	2026-07-31T19:46:07.315169282+00:00	iOS 26.3 simulator crashes SpringBoard on named alarm/notification sounds (sim-only ABI bug)	2026-07-31T16:33:59.858575Z
entry	2026-07-31-6	foreign_id_collision	Codex PTY injection needs bracketed paste (cas-5fff)	2026-07-31T23:05:49.486720433+00:00	Factory supervisor process learnings — 2026-07-31 release session	2026-07-31T19:25:54.212407Z
entry	2026-08-01-1	foreign_id_collision	A green test suite doesn't prove the new regressions ran — check the count arithmetic	2026-08-01T14:59:39.901560998+00:00	2026-08-01 session-start pointer: production launched, stores in review — read the v5 handoff first	2026-08-01T01:26:24.123756Z
entry	2026-08-01-2	foreign_id_collision	Merge the branch ref, never a SHA pasted in a worker message	2026-08-01T14:59:46.178226894+00:00	Save-offer discount architecture + the 2026-08-01 70% change	2026-08-01T14:30:22.399723Z
entry	2026-08-09-18	foreign_id_collision	verification-builds-staging-location — Supervisor verification builds (cargo worktrees etc.) must go to /mnt/datacube/staging, never /tmp — /tmp is tmpfs (RAM) on this host	2026-08-09T16:52:08.202632848+00:00		2026-08-09T17:36:27.103736Z
task	cas-0200	same_identity_wrong_or_unscoped_binding	Fix headless Chrome on vultr — playwright/crawl4ai skills can't launch browser	Fix headless Chrome on vultr — playwright/crawl4ai skills can't launch browser	2026-04-07T13:14:25.939378569+00:00	2026-04-07T13:14:25.939378569Z
task	cas-037c	foreign_id_collision	Plan multi-locale fallback strategy for i18n messages	Password-change OTP: Prisma model + migration	2026-04-27T20:02:56.743263288+00:00	2026-07-27T16:25:26.353891466Z
task	cas-0738	same_identity_wrong_or_unscoped_binding	Phase C: docs updates — TOOLS.md + VULTR_RUNBOOK.md for petra gog wiring	Phase C: docs updates — TOOLS.md + VULTR_RUNBOOK.md for petra gog wiring	2026-04-08T12:39:33.372294046+00:00	2026-04-08T12:39:33.372294046Z
task	cas-0f13	foreign_id_collision	Phase B — move persona dispatch + merge into a production Workflow script	Fold 2026-08-04 live-device learnings into the mobile-dev skill (iPhone 12 mini iOS 26.5.2 + Pixel 10 Pro Android 16)	2026-06-02T13:00:16.641841640+00:00	2026-08-04T17:11:16.033479Z
task	cas-0f91	same_identity_wrong_or_unscoped_binding	EPIC: Vultr OpenClaw upgrade 2026.4.5 → 2026.4.8	EPIC: Vultr OpenClaw upgrade 2026.4.5 → 2026.4.8	2026-04-08T12:07:48.419074505+00:00	2026-04-08T12:07:48.419074505Z
task	cas-0fd1	foreign_id_collision	Fix cas-b935 integration regression: legitimate verification flows fail durable-authority check	Engagement polish: auto-retry failed chart sections + human event names + logical grouping in family detail	2026-07-31T15:12:54.063351863+00:00	2026-08-04T14:37:53.516906419Z
task	cas-127f	foreign_id_collision	ZERO-COMMIT false-positive after supervisor merges (MERGE REQUIRED catch-22)	Volume-calibration gate device verify (cas-dda3) — upgraded-install path + machine-provable halves	2026-07-21T13:28:29.510041103+00:00	2026-07-29T13:00:24.931542Z
task	cas-1b80	foreign_id_collision	fix(verification): Codex VERIFICATION_JAIL_BLOCKED test must assert mcp__cs__coordination guidance	Finish the device-QA matrix (cas-dded/cas-4765 remainder) — machine halves + staged ears/eyes cues	2026-06-30T17:10:25.379563978+00:00	2026-07-29T16:53:21.933457Z
task	cas-20f2	foreign_id_collision	Complete full Grok general CAS skill parity	Unit 11: Synthesize final light-mode HTML system audit	2026-07-21T17:34:26.241387371+00:00	2026-08-03T15:53:51.731242645Z
task	cas-2749	same_identity_wrong_or_unscoped_binding	Factory worker crash recovery: heartbeat dies silently, edits disappear, no salvage path	Factory worker crash recovery: heartbeat dies silently, edits disappear, no salvage path	2026-04-23T14:50:15.849774246+00:00	2026-04-23T14:50:15.849774246Z
task	cas-2de1	foreign_id_collision	Unify codemap freshness signals + auto-clear pending ledger on /codemap regen	cas-9c37 review fold-in (BACKEND): 5 items — guard coverage, utmParams DTO, breakdown '(none)', getUserActivity ISO, hash phone id	2026-05-18T14:07:52.426611174+00:00	2026-06-17T19:16:39.969333461Z
task	cas-2e0b	same_identity_wrong_or_unscoped_binding	Modernize Capacitor mobile setup — bring shells to "current" working state	Modernize Capacitor mobile setup — bring shells to "current" working state	2026-05-01T23:30:26.700569053+00:00	2026-05-01T23:30:26.700569053Z
task	cas-34f7	same_identity_wrong_or_unscoped_binding	Set up gog Google Workspace skill on vultr (pippenz personal)	Set up gog Google Workspace skill on vultr (pippenz personal)	2026-04-07T12:43:11.387414723+00:00	2026-04-07T12:43:11.387414723Z
task	cas-3894	foreign_id_collision	Urgent-stop halt (cas-b269) wedges close: the only working delivery channel poisons the recipient's ability to finish	Sleep setup-flow UX: bedtime↔hours linkage, days-of-week in setup, save confirmation, schedule-details copy, chips explanation	2026-07-27T18:07:01.435765453+00:00	2026-07-29T20:16:16.051542388Z
task	cas-38e2	foreign_id_collision	Close-gate merge-state check reads parent/epic branch ref from the WORKER's own (stale) worktree, not origin — false MERGE REQUIRED on already-merged work	CAS BUG: worker inbox drain reports "No unread messages" while a delivered supervisor message sits unacked	2026-07-09T13:23:15.582194676+00:00	2026-08-09T15:25:42.520688Z
task	cas-3af8	foreign_id_collision	TUI: per-worker backend tag in tab labels and status line	DESIGN — Contrast-first design critique of widget QA screenshots (all 4 widgets, light+dark)	2026-05-04T13:16:34.808257020+00:00	2026-07-23T14:09:55.872671683Z
task	cas-3d29	same_identity_wrong_or_unscoped_binding	EPIC: Wire daniel@petrastella.io into gog (Google Workspace via --client petra)	EPIC: Wire daniel@petrastella.io into gog (Google Workspace via --client petra)	2026-04-08T12:22:04.137695454+00:00	2026-04-08T12:22:04.137695454Z
task	cas-3d72	same_identity_wrong_or_unscoped_binding	Diagnose OpenClaw Byte session: why does the agent stop after one step?	Diagnose OpenClaw Byte session: why does the agent stop after one step?	2026-04-09T00:56:48.711548378+00:00	2026-04-09T00:56:48.711548378Z
task	cas-3d75	same_identity_wrong_or_unscoped_binding	Phase G — install apt + npm + uv + cargo manifests (safe ops)	Phase G — install apt + npm + uv + cargo manifests (safe ops)	2026-04-27T02:50:44.502961786+00:00	2026-04-27T02:50:44.502961786Z
task	cas-4244	foreign_id_collision	Cloud client 404 on every factory session start — phone-home effectively dead	Plaid integration for Cash & Cash Equivalents (v1: connect + refresh)	2026-04-12T14:14:01.064778537+00:00	2026-06-15T13:33:44.776216812Z
task	cas-44e9	foreign_id_collision	Assignment freshness gate uses wrong epic branch (multi-epic)	Rotate exposed Neon API and database role credentials	2026-07-21T13:28:29.508270226+00:00	2026-07-22T22:28:00.330711097Z
task	cas-4513	foreign_id_collision	Factory: detect Claude Code crash-screen in worker pane + add debug/kill verbs	Factory TUI worker-pane rendering corruption — garbled text, no interactions, looks like crash	2026-04-23T15:09:25.450217456+00:00	2026-04-23T15:09:25.450217456Z
task	cas-49f7	same_identity_wrong_or_unscoped_binding	Expose bundled `slack` skill as a tool in OpenClaw webchat session on Vultr VPS	Expose bundled `slack` skill as a tool in OpenClaw webchat session on Vultr VPS	2026-04-08T14:15:00.117042156+00:00	2026-04-08T14:15:00.117042156Z
task	cas-5c02	foreign_id_collision	Grok live communication conformance probe	Copy + asset batch: 3-day retraining language, drop "Below", drop generation timestamp, new Gerald photo	2026-07-21T14:45:21.402424452+00:00	2026-08-03T14:48:56.575167Z
task	cas-6cb0	same_identity_wrong_or_unscoped_binding	Replace string-match of "No active lease found" in release auto-recovery with typed error variant	Replace string-match of "No active lease found" in release auto-recovery with typed error variant	2026-04-23T15:09:22.334000901+00:00	2026-04-23T15:09:22.334000901Z
